,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ADA-USD,BTC-USD,XRP-USD
209,81.57196,80.05516,37.098038,98.89757,166.05794,71.25681,39.322823,61.904682,132.56183,176.4136,0.540847,47218.73,0.5711642
210,81.61371,80.6593,37.053497,98.90106,166.07695,71.39674,39.62954,62.25864,132.53435,174.49263,0.5057214,43783.83,0.5422731
211,81.085625,79.33253,36.883366,99.252525,166.08727,71.15058,39.38446,61.577698,132.4457,174.30907,0.49401963,44083.52,0.54739946
212,80.72618,78.85346,36.83632,99.43652,166.06314,71.11888,38.63573,60.66495,132.40892,172.90128,0.48535562,43673.867,0.5401626
213,80.88467,78.758934,36.87668,99.03216,166.06879,71.06133,38.37161,59.99425,132.40617,173.81146,0.4602321,42190.86,0.5255971
214,80.932594,78.947495,37.258747,98.77865,165.78548,70.9245,38.7618,59.91253,132.41711,175.34099,0.46150452,42549.414,0.5186679
215,81.074,79.162506,37.365555,98.43219,165.69691,70.6887,38.949997,59.595074,132.49086,174.63922,0.43700013,40411.785,0.50280094
216,81.228775,79.28313,37.400333,98.47016,165.60641,71.200874,38.73032,59.707855,132.47993,174.25392,0.43526205,40756.316,0.49468833
217,80.55725,80.07529,37.485485,98.74876,165.43166,70.61262,38.16965,58.85358,132.2994,173.64497,0.434813,40991.758,0.4949151
218,81.07982,81.25392,37.589596,98.30653,165.31313,71.07418,38.719826,59.96361,132.26248,171.64221,0.42509198,40846.11,0.49095833
219,81.09721,81.62563,37.66361,98.38511,165.6192,71.29373,38.540863,60.147247,132.39062,172.37709,0.4437402,42748.668,0.50774914
220,81.329414,81.5547,37.715054,98.050224,165.38391,71.543816,38.835117,60.543503,132.50937,174.70326,0.4835999,44215.64,0.510373
221,81.53508,82.05771,37.9499,98.03124,165.59938,71.77349,38.456333,60.523235,132.5386,174.61174,0.47249252,43882.67,0.4883335
222,80.920654,81.11891,37.720135,98.60926,165.97838,71.467995,38.158993,60.39137,132.5218,171.66113,0.45662862,43514.44,0.48156258
223,81.68067,81.112724,37.750366,97.73635,165.78548,72.24899,38.866493,61.567753,132.61653,174.72154,0.4653647,44004.977,0.48396727
224,81.42256,81.18661,37.828873,97.33122,165.56104,72.136475,38.3504,60.431973,132.61305,177.51534,0.47228578,44114.176,0.48807535
225,80.13944,81.056984,37.715054,97.664856,165.50368,71.90639,37.536705,59.121952,132.61816,175.27745,0.45173663,43590.24,0.48431456
226,81.03898,81.22337,37.75536,97.10977,165.61688,71.993614,38.14833,59.348515,132.57082,176.23438,0.4568348,44013.805,0.4833304
227,81.4117,81.32688,37.895054,96.664185,165.2633,71.958,38.12701,59.389656,132.54337,177.98114,0.4601314,45230.812,0.49112356
228,81.351494,81.83544,37.82406,96.6523,165.1659,71.947754,38.3504,58.94655,132.56166,178.66092,0.48759866,46190.027,0.49179158
229,81.44961,81.056984,37.87639,96.54458,164.69388,71.57832,38.456333,59.18379,132.56892,179.75285,0.49915215,47960.734,0.5021818
230,81.791504,81.613846,37.95887,96.44173,164.97417,71.864456,38.329174,59.90231,132.55608,179.6249,0.51849633,50569.754,0.5074851
231,81.16055,81.10035,37.70486,97.14345,165.496,71.42062,37.579865,58.863907,132.61511,176.49414,0.50337344,50373.75,0.50110084
232,81.454994,81.05079,37.885746,95.982254,165.19682,71.33644,37.848827,59.204395,132.56302,178.1386,0.53591806,52233.156,0.51336855
233,82.22039,82.40018,38.171192,95.41368,165.26183,71.612526,38.814182,60.23889,132.47034,179.91463,0.56737876,52330.695,0.5354297
234,82.40958,82.37306,38.11607,95.87417,165.52017,71.67443,38.3928,60.167625,132.41501,178.99823,0.5577485,52523.25,0.53742945
235,82.33553,81.93868,38.07108,96.108246,165.7525,72.07828,38.329174,60.126865,132.47252,177.52415,0.5814096,52631.13,0.5355811
236,82.52425,82.80155,38.120087,95.81019,165.86688,72.207405,38.625195,60.9474,132.43599,178.66957,0.55732876,52244.05,0.5229674
237,82.8306,82.87836,38.291588,94.84559,165.05566,72.31222,38.73032,60.46241,132.17653,181.60745,0.54461235,51775.066,0.5156427
238,82.988304,82.58226,38.35804,94.41492,165.13292,72.4122,38.78277,60.90714,132.04056,180.92624,0.54192185,51266.125,0.50987005
239,82.827324,82.73954,38.291588,94.53869,165.10103,72.28084,38.318558,59.66686,132.1874,181.39235,0.5789382,54511.26,0.52514225
240,82.92859,82.545105,38.328747,94.41492,165.07196,72.28534,38.3504,60.836605,132.25,181.88748,0.5834972,56517.926,0.55676454
241,83.00855,82.45415,38.37701,94.13113,165.22429,72.32111,38.866493,61.027855,132.36276,182.47568,0.5904671,60122.066,0.547276
242,83.18286,82.67701,38.37074,93.873024,164.8497,72.26724,39.188763,61.047947,132.50414,183.47319,0.6155697,59342.05,0.5568254
243,83.273895,83.18243,38.354836,93.50775,164.11043,72.27178,39.62954,60.66495,132.31418,183.95656,0.6807365,60085.188,0.5709777
244,83.39667,82.713554,38.386333,93.19691,164.11043,72.29883,40.082073,61.706783,132.34702,181.94495,0.73476267,62820.863,0.61495197
245,83.30925,83.039536,38.389416,93.901,165.08655,72.377975,39.568504,61.527958,132.48312,180.05049,0.65438056,60835.195,0.5628024
246,83.42614,83.17267,38.451298,93.4584,164.80876,72.63151,39.79152,62.121338,132.36134,179.50517,0.69595534,61946.445,0.58040994
247,83.557625,83.52413,38.43417,92.76424,164.16983,72.78333,39.79152,62.52211,132.25667,180.66656,0.7072483,62291.207,0.5953263
248,83.50492,83.66548,38.45411,92.955925,164.78362,72.56672,40.260334,62.677383,132.30023,180.10138,0.6866938,62810.266,0.5892476
249,83.59073,84.06024,38.473446,93.40194,164.88483,72.71838,40.062172,62.98596,132.31264,179.68463,0.73776835,63859.258,0.67710084
250,83.59022,84.00149,38.517906,93.019775,164.05463,72.84803,39.962334,62.385715,132.19992,180.99306,0.7106769,63723.152,0.64976746
251,83.61054,84.56424,38.587746,92.785545,164.52278,72.906006,39.710674,62.80307,132.29553,180.67496,0.7277978,64033.004,0.6522771
252,83.605995,84.89264,38.510323,93.15442,164.515,72.714874,39.137028,62.30756,132.37256,179.70169,0.71318114,63704.023,0.63307625
253,83.60694,84.98201,38.50003,93.14026,165.07845,72.70428,39.116306,62.395473,132.44666,178.15608,0.6883322,63172.48,0.59998876
254,83.60977,85.08337,38.55742,92.98667,164.90904,72.86533,39.11004,62.679703,132.44864,179.33374,0.6213121,62535.816,0.6126072
255,83.60988,85.392746,38.60136,92.2384,164.71747,72.948685,39.11004,63.222275,132.3193,180.65257,0.54563636,59776.07,0.5551136
256,83.59323,85.35629,38.688454,91.187996,164.26253,73.011536,39.27654,63.29907,132.36765,182.87155,0.59905535,62671.953,0.5803271
257,83.57071,85.50625,38.73197,90.32877,164.23134,73.02195,39.431698,63.203045,132.3403,183.72858,0.5912916,61669.93,0.60633284
258,83.601074,85.453026,38.666527,90.627174,164.2167,72.919785,38.953045,63.28948,132.36905,182.43343,0.5723565,60823.387,0.5792226
259,83.59999,85.67136,38.63858,91.19504,164.4985,72.85596,38.79525,63.575874,132.39632,181.94225,0.61690253,63336.3,0.6066458
260,83.60244,85.49045,38.663204,91.51313,164.66351,72.86845,38.62607,62.874462,132.32083,182.13107,0.6251784,63344.53,0.5986353
261,83.505936,85.70429,38.730885,90.12207,164.45909,73.08354,39.63708,64.54667,131.95918,183.83168,0.608247,63188.22,0.5801468
262,83.47564,85.92055,38.752884,90.10834,164.54723,73.10649,39.891296,64.95524,131.95479,183.37798,0.6106087,63547.445,0.5916161
263,83.502495,86.048485,38.730885,90.780716,164.43327,72.95153,39.183006,64.59244,132.20544,182.2702,0.5809201,63262.07,0.5795039
264,83.53831,86.24271,38.704033,91.187996,164.81386,72.83374,38.731907,64.69278,132.5144,180.0265,0.5396419,61649.41,0.55604494
265,83.47692,86.31567,38.701305,90.738785,164.71379,72.53478,38.75303,64.4549,132.52863,180.13698,0.5298355,61891.04,0.5464644
266,83.57071,86.30967,38.623444,91.51313,165.26225,72.402145,38.434746,64.33508,132.61821,178.31963,0.54163164,62882.504,0.5634887
267,83.49065,86.39585,38.68993,90.308044,164.88292,72.45301,38.700188,64.51001,132.58482,179.17873,0.53342533,62644.04,0.557914
268,83.481995,86.349,38.714462,90.46033,164.92459,72.406425,39.047344,64.901184,132.60477,180.6273,0.57326716,63756.37,0.5833579
269,83.452934,86.35158,38.680893,90.66201,164.73956,72.55464,39.55514,65.223434,132.58212,181.33855,0.55067664,63090.016,0.58183414
270,83.59078,86.375595,38.562035,91.41401,165.17087,72.44462,37.855186,64.196106,132.61514,178.96286,0.54496956,63507.207,0.58524424
271,83.594154,86.37026,38.490303,91.31502,164.44322,72.36749,37.898376,64.07505,132.59827,180.19637,0.5449048,63365.023,0.577339
