,0
0,-3.5287350270245454
1,1.573188189875886
2,6.3803319636875075
3,-1.5699226534002433
4,15.394965160089145
5,-6.4009077174511555
6,4.364020396589618
7,-3.6495974109803306
8,4.829744615520338
9,5.207722419181294
10,4.637123624286671
11,-1.457819060509742
12,2.2258871365648827
13,-5.101793747789415
14,1.1726086989425635
15,0.4350563890470178
16,-0.9593716828873022
17,3.90684143065534
18,0.744124331095063
19,-0.8581126829239191
20,2.0315184444461485
21,1.7773312240558077
22,-2.375554663374116
23,3.4304322291558753
24,-6.630734443777141
25,-3.058097706306665
26,-4.599689591764524
27,1.5949731491703694
28,2.3878635400768267
29,-0.3144643814154648
30,2.0381258325675047
31,0.9796150550694996
32,-3.7876318430406086
33,0.8889874886704304
34,0.2995494582443264
35,-0.7398816773520198
36,1.7622579968616263
37,-7.488836140093127
38,-0.05563808867193155
39,0.46604508499107355
40,-2.270175381755429
41,1.4827530866451586
42,-0.13210118571570764
43,1.4262968735427488
44,1.6460602048188544
45,0.4677536075371686
46,0.6256560589452661
47,-0.7137836751485018
48,0.9537360097494171
49,-2.548352441286194
50,-0.20726992875131797
51,2.1921078128850238
52,7.449690892179955
53,-1.133219520296785
54,-1.9598772389480874
55,3.044214933653313
56,-4.549497816803236
57,3.639672539053824
58,-3.9897740319928445
59,0.6955500503166382
60,-0.8018168587965083
61,-3.3218144012735533
62,-0.5055756637692577
63,-5.570776827760702
64,0.38665300164498795
65,0.5009790031449209
66,4.525802046011922
67,3.9064677649031063
68,-0.3913419463122834
69,1.3930244009892558
70,-3.338442215612674
71,1.3580844184646623
72,-3.9914675583679116
73,2.058346785181406
74,0.9245621638182662
75,2.973513084177004
76,-2.6296205073364938
77,-2.4216133744455517
78,1.3364643698387217
79,1.2692194121326195
80,0.38663493098352647
81,-1.0044814915363771
82,41.89806680604769
83,-8.613602679138857
84,0.0140461324727916
85,1.9853298600868006
86,3.829226373912225
87,-2.2193143056060767
88,-1.4078392489862726
89,-5.651091002637385
90,0.42035704334661383
91,0.7473076689628636
92,-0.21737244151590007
93,0.2353242926567871
94,-1.243011803745037
95,1.220146267698441
96,-2.7998468597156103
97,-1.990578530130076
98,-2.11790975173979
99,-1.1770366032461346
100,2.7578763135594095
101,0.14403046712177128
102,-1.294346792408117
103,-0.3419635501983222
104,-0.015922955082129372
105,-2.816352984257433
106,-2.7448074137005993
107,-10.259470406877561
108,-0.02952197394353781
109,1.778935930253304
110,-0.859481722447248
111,2.134693341097254
112,-1.5177744248665428
113,0.1844844731768815
114,0.3561341820843496
115,3.7505199700527894
116,-2.0838677560359096
117,-3.9124102855210805
118,-1.3640166172375103
119,0.9112095093478616
120,-0.23192258375244224
121,0.6955557025519976
122,-0.665199972327537
123,-4.87668667445754
124,1.7892103655964036
125,1.0245745133746198
126,1.1193689183540878
127,1.1512181980873437
128,0.48207259960184157
129,1.8613500091961115
130,0.2630307780915471
131,-2.4761769348719778
132,0.47009469690712546
133,-0.8730443137916393
134,-0.49250675166014857
135,-0.1143953828337685
136,2.0922149493048896
137,1.0805213847144712
138,0.7613716055280673
139,2.4409777766740364
140,-0.2613474558676462
141,-1.1832926177524805
142,1.2331417832470146
143,-3.6429518569966817
144,-0.9860050620587084
145,-1.4777000230639665
146,-0.8907377853295981
147,0.39810592739543016
148,3.483156126370504
149,-1.1254327620843327
150,-0.7646907591756771
151,3.872433671494541
152,0.9653529390812425
153,8.817019821380653
154,1.6487887504492402
155,0.3540868218995563
156,0.13468180933139598
157,-0.689373448333138
158,4.470706065886524
159,1.1752466329706552
160,2.5166654700357243
161,0.5454816222566097
162,0.7805931547069849
163,10.770476794523894
164,-2.3982698057774243
165,0.73703349700282
166,0.027774878731792334
167,-0.48252278977719587
168,-3.7965461970495786
169,4.797969304334047
170,-4.542316786119271
171,0.14494365947607038
172,1.5082960586247256
173,-5.162686311393905
174,5.331386350221152
175,1.3467999793797405
176,-2.2024673875432366
177,1.46833649173479
178,-0.3754680221108312
179,-0.7064683881455897
180,1.7715784450168723
181,4.6871097546523615
182,2.314707361403789
183,2.1280943283942606
184,0.6948709904248307
185,7.362484938984461
186,-5.457327711641093
187,1.1651800381852928
188,5.2780558137821885
189,-0.3719630745868948
190,-3.5407352429270267
191,0.2216613391842614
192,-1.7413895257890328
193,2.3882728503734243
194,2.528395895996057
195,-0.2551402893868926
196,-1.7621580469155653
197,2.5324709977358513
198,-1.1141768739090865
199,-1.5712881433483503
200,1.9674797941745106
201,-6.500141213322622
202,1.9051063335327059
203,-2.174950418909867
204,1.908688668379566
205,-2.7139111827148987
206,5.659240386966133
207,0.6517323658783651
208,-6.097116076616905
209,0.1812469764790762
210,-1.316516956492734
211,-3.4623372266244345
212,-0.36597819151833155
213,-4.137913575983742
214,-0.6668955022297269
215,0.1658978993898389
216,-0.9910959391485407
217,4.02594490084558
218,3.1827292777792
219,-2.91647163155646
220,-1.6763220907376561
221,0.9947762422023524
222,0.8265821291178258
223,-1.6766068573127118
224,0.4210850815952868
225,1.7924474391939997
226,1.9768915852170796
227,2.7427988141900563
228,3.0583807526751703
229,-1.3905244608494365
230,3.8196599301276097
231,3.5028784429050575
232,-0.05372444932775962
233,0.80091263100383
234,-2.325638096416926
235,-1.4937558592986395
236,-0.9924729924042346
237,5.102426269893838
238,4.555590376869299
239,2.0843383454452584
240,1.199448114085937
241,4.11576797462561
242,8.240860886329937
243,-8.486631685677827
244,3.9584540421239183
245,1.9905243780133173
246,-0.5539221779644251
247,10.641043663373772
248,-3.047883699729374
249,1.343024372407632
250,-2.5522745135273235
