Date,Adj Close
31/10/22,229.443207
1/11/22,225.529037
2/11/22,217.552444
3/11/22,211.770157
4/11/22,218.827515
7/11/22,225.232529
8/11/22,226.220947
9/11/22,221.911407
10/11/22,240.167618
11/11/22,244.249802
14/11/22,238.754181
15/11/22,239.169312
16/11/22,239.605438
17/11/22,239.555878
18/11/22,239.099915
21/11/22,239.922638
22/11/22,242.876434
23/11/22,245.404022
25/11/22,245.314819
28/11/22,239.635178
29/11/22,238.217758
30/11/22,252.897583
1/12/22,252.451523
2/12/22,252.778656
5/12/22,248.000992
6/12/22,242.965622
7/12/22,242.222229
8/12/22,245.225616
9/12/22,243.263
12/12/22,250.29068
13/12/22,254.661942
14/12/22,254.95932
15/12/22,246.821457
16/12/22,242.539429
19/12/22,238.3367
20/12/22,239.674835
21/12/22,242.281693
22/12/22,236.096542
23/12/22,236.63179
27/12/22,234.877365
28/12/22,232.468719
29/12/22,238.891769
30/12/22,237.712234
3/1/23,237.47435
4/1/23,227.086456
5/1/23,220.35614
6/1/23,222.953094
9/1/23,225.123825
10/1/23,226.838638
11/1/23,233.69783
12/1/23,236.413742
13/1/23,237.127411
17/1/23,238.237579
18/1/23,233.737457
19/1/23,229.891556
20/1/23,238.108704
23/1/23,240.447968
24/1/23,239.91272
25/1/23,238.495285
26/1/23,245.820343
27/1/23,245.978943
30/1/23,240.576828
31/1/23,245.632004
1/2/23,250.52858
2/2/23,262.274475
3/2/23,256.079376
6/2/23,254.51326
7/2/23,265.208435
8/2/23,264.385712
9/2/23,261.30304
10/2/23,260.787598
13/2/23,268.935364
14/2/23,269.777924
15/2/23,267.621613
16/2/23,260.496796
17/2/23,256.432587
21/2/23,251.076584
22/2/23,249.923904
23/2/23,253.163345
24/2/23,247.648361
27/2/23,248.582428
28/2/23,247.847076
1/3/23,244.716949
2/3/23,249.526428
3/3/23,253.680054
6/3/23,255.250107
7/3/23,252.547256
8/3/23,252.100082
9/3/23,250.728806
10/3/23,247.022308
13/3/23,252.318695
14/3/23,259.145386
15/3/23,263.766052
16/3/23,274.458221
17/3/23,277.667847
20/3/23,270.513214
21/3/23,272.053467
22/3/23,270.572845
23/3/23,275.908997
24/3/23,278.800659
27/3/23,274.637085
28/3/23,273.494354
29/3/23,278.741028
30/3/23,282.258698
31/3/23,286.481873
3/4/23,285.418671
4/4/23,285.368927
5/4/23,282.546844
6/4/23,289.761108
10/4/23,287.565033
11/4/23,281.046387
12/4/23,281.70224
13/4/23,288.012177
14/4/23,284.33551
17/4/23,286.978729
18/4/23,286.551453
19/4/23,286.630951
20/4/23,284.305664
21/4/23,283.957916
24/4/23,279.993073
25/4/23,273.683136
26/4/23,293.507294
27/4/23,302.907623
28/4/23,305.322327
1/5/23,303.633057
2/5/23,303.484009
3/5/23,302.480347
4/5/23,303.484009
5/5/23,308.690979
8/5/23,306.703552
9/5/23,305.063965
10/5/23,310.340485
11/5/23,308.154358
12/5/23,307.021545
15/5/23,307.508453
16/5/23,309.774078
17/5/23,312.701935
18/5/23,317.203247
19/5/23,317.023956
22/5/23,319.852234
23/5/23,313.956696
24/5/23,312.552551
25/5/23,324.572632
26/5/23,331.513855
30/5/23,329.840759
31/5/23,327.03244
1/6/23,331.205078
2/6/23,334.013458
5/6/23,334.551239
6/6/23,332.300537
7/6/23,322.043152
8/6/23,323.915375
9/6/23,325.439056
12/6/23,330.478149
13/6/23,332.908051
14/6/23,335.945435
15/6/23,346.66095
16/6/23,340.914795
20/6/23,336.652496
21/6/23,332.18103
22/6/23,338.305634
23/6/23,333.63501
26/6/23,327.241577
27/6/23,333.18689
28/6/23,334.461609
29/6/23,333.664886
30/6/23,339.132202
3/7/23,336.592743
5/7/23,336.752075
6/7/23,339.859192
7/7/23,335.825928
10/7/23,330.458191
11/7/23,331.095581
12/7/23,335.806
13/7/23,341.243439
14/7/23,343.812775
17/7/23,344.300751
18/7/23,358.003845
19/7/23,353.612091
20/7/23,345.436035
21/7/23,342.348846
24/7/23,343.683289
25/7/23,349.529053
26/7/23,336.373657
27/7/23,329.352783
28/7/23,336.971161
31/7/23,334.531311
1/8/23,334.949554
2/8/23,326.146118
3/8/23,325.30957
4/8/23,326.424957
7/8/23,328.7453
8/8/23,324.702087
9/8/23,320.897919
10/8/23,321.594971
11/8/23,319.682953
14/8/23,322.700439
15/8/23,320.529388
16/8/23,319.751007
17/8/23,316.238159
18/8/23,315.838959
21/8/23,321.228027
22/8/23,321.806824
23/8/23,326.337646
24/8/23,319.321899
25/8/23,322.325806
28/8/23,323.044342
29/8/23,327.744781
30/8/23,328.124023
31/8/23,327.09613
1/9/23,327.994293
5/9/23,332.874359
6/9/23,332.20575
7/9/23,329.24176
8/9/23,333.592896
11/9/23,337.255493
12/9/23,331.097961
13/9/23,335.379303
14/9/23,338.013947
15/9/23,329.551117
18/9/23,328.393463
19/9/23,327.984283
20/9/23,320.12027
21/9/23,318.882782
22/9/23,316.367889
25/9/23,316.89682
26/9/23,311.507751
27/9/23,312.156433
28/9/23,313.00473
29/9/23,315.110443
2/10/23,321.148163
3/10/23,312.755219
4/10/23,318.313934
5/10/23,318.713104
6/10/23,326.597137
9/10/23,329.151947
10/10/23,327.724854
11/10/23,331.746674
12/10/23,330.489227
13/10/23,327.066193
16/10/23,331.966248
17/10/23,331.38739
18/10/23,329.441345
19/10/23,330.648895
20/10/23,326.008331
23/10/23,328.652954
24/10/23,329.860504
25/10/23,339.97998
26/10/23,327.225861
27/10/23,329.141968
30/10/23,336.62677
