Date,USDT-USD,TRX-USD,ETH-USD,XMR-USD,BTC-USD,EOS-USD,XLE,XLF,XLP,XLC,XRP-USD,ADA-USD,XLB,XLU,XLV,XLM-USD,IOT-USD,XLY,XLK,LINK-USD,XLI,DASH-USD,BCH-USD,XLRE,LTC-USD,BNB-USD
1998-12-22,,,,,,,12.034071922302246,11.425532341003418,14.558568000793455,,,,11.776812553405762,12.181774139404297,17.233089447021484,,,18.995107650756836,24.06436538696289,,14.745355606079102,,,,,
1998-12-23,,,,,,,12.284619331359863,11.594012260437012,14.910511016845703,,,,11.90049648284912,12.130727767944336,17.620346069335938,,,19.076688766479492,24.639272689819336,,15.00266456604004,,,,,
1998-12-24,,,,,,,12.219964027404783,11.67057991027832,14.884764671325684,,,,12.174379348754885,12.354070663452148,17.72793197631836,,,19.426298141479492,24.545412063598633,,15.200581550598145,,,,,
1998-12-28,,,,,,,12.155301094055176,11.517422676086426,14.79892635345459,,,,12.068363189697266,12.290260314941406,17.469751358032227,,,19.251487731933594,24.61581802368164,,15.27974796295166,,,,,
1998-12-29,,,,,,,12.276524543762209,11.639955520629885,15.12511920928955,,,,12.289226531982422,12.494462013244627,17.85702133178711,,,19.6710147857666,24.68621063232422,,15.497467041015623,,,,,
1998-12-30,,,,,,,12.090648651123049,11.594012260437012,15.030692100524902,,,,12.25388240814209,12.39235496520996,17.7064151763916,,,19.50786590576172,24.592350006103516,,15.42819118499756,,,,,
1998-12-31,,,,,,,12.074485778808594,11.486797332763672,14.919095039367676,,,,12.39525318145752,12.34768772125244,17.900041580200195,,,19.484554290771484,24.49848175048828,,15.556841850280762,,,,,
1999-01-04,,,,,,,12.06640338897705,11.486797332763672,14.79892635345459,,,,12.245049476623535,12.149873733520508,17.85702133178711,,,19.36802673339844,24.780086517333984,,15.339131355285645,,,,,
1999-01-05,,,,,,,12.001744270324709,11.594012260437012,14.910511016845703,,,,12.545438766479492,12.296639442443848,18.136701583862305,,,19.694324493408203,25.413654327392575,,15.655800819396973,,,,,
1999-01-06,,,,,,,12.397762298583984,11.961586952209473,15.090778350830078,,,,12.76630973815918,12.424264907836914,18.43790626525879,,,20.253690719604492,26.164575576782227,,15.992283821105955,,,,,
1999-01-07,,,,,,,12.341188430786133,12.145374298095703,14.919095039367676,,,,12.6691255569458,12.379598617553713,18.35184669494629,,,20.230382919311523,26.082447052001953,,15.853732109069824,,,,,
1999-01-08,,,,,,,12.397762298583984,12.22194766998291,14.859015464782717,,,,13.10202980041504,12.449785232543944,18.57774543762207,,,20.253690719604492,26.18803596496582,,15.972489356994627,,,,,
1999-01-11,,,,,,,12.163385391235352,12.03816032409668,14.558568000793455,,,,13.128535270690918,12.117965698242188,18.620773315429688,,,20.1487979888916,26.4461612701416,,15.824041366577148,,,,,
1999-01-12,,,,,,,11.977499961853027,11.701217651367188,14.446977615356444,,,,12.792814254760742,12.124348640441896,18.545480728149418,,,19.6243953704834,25.730451583862305,,15.63601303100586,,,,,
1999-01-13,,,,,,,11.799697875976562,11.548060417175291,14.472726821899414,,,,12.510103225708008,12.207303047180176,18.37336540222168,,,19.71763038635254,25.718713760375977,,15.240164756774902,,,,,
1999-01-14,,,,,,,11.573402404785156,11.25705909729004,14.198040962219238,,,,12.298067092895508,12.003101348876951,18.22276306152344,,,19.274799346923828,25.36673355102539,,15.170905113220217,,,,,
1999-01-15,,,,,,,11.751203536987305,11.57869815826416,14.352556228637695,,,,12.483593940734863,12.060534477233888,18.47017478942871,,,19.51951789855957,26.117637634277344,,15.42819118499756,,,,,
1999-01-19,,,,,,,11.751203536987305,11.517422676086426,14.189459800720217,,,,12.25388240814209,12.468934059143066,18.997289657592773,,,19.50786590576172,27.02107810974121,,15.398500442504885,,,,,
1999-01-20,,,,,,,11.654224395751951,11.601667404174805,14.232375144958496,,,,12.209712028503418,12.417886734008787,19.104856491088867,,,19.83416175842285,27.267475128173828,,15.329233169555664,,,,,
1999-01-21,,,,,,,11.751203536987305,11.394906997680664,14.017770767211914,,,,12.156710624694824,12.373209953308104,18.43790626525879,,,19.647706985473633,26.563493728637695,,15.200581550598145,,,,,
1999-01-22,,,,,,,11.686548233032228,11.318323135375977,13.949098587036133,,,,11.918169021606444,12.45616626739502,18.36259651184082,,,19.74093437194824,26.094175338745117,,14.903694152832031,,,,,
1999-01-25,,,,,,,11.670385360717772,11.41021728515625,13.914764404296877,,,,12.156710624694824,11.990339279174805,18.513200759887695,,,19.694324493408203,26.551748275756836,,15.15110683441162,,,,,
1999-01-26,,,,,,,11.55723762512207,11.417880058288574,14.24095630645752,,,,12.121367454528809,12.226449966430664,18.599260330200195,,,20.160463333129883,27.619455337524418,,15.15110683441162,,,,,
1999-01-27,,,,,,,11.347108840942385,11.272372245788574,14.429804801940918,,,,12.024188995361328,12.041388511657717,18.416399002075195,,,20.13715171813965,27.032812118530273,,15.269853591918944,,,,,
1999-01-28,,,,,,,11.282450675964355,11.440848350524902,14.68733024597168,,,,11.873992919921877,12.060534477233888,18.76061630249023,,,20.346904754638672,27.983190536499023,,15.289640426635742,,,,,
1999-01-29,,,,,,,11.282450675964355,11.685900688171388,14.721665382385254,,,,11.935834884643556,12.041388511657717,18.76061630249023,,,20.48676109313965,28.39383316040039,,15.3886079788208,,,,,
1999-02-01,,,,,,,11.16930103302002,11.486797332763672,14.66157054901123,,,,12.033020973205566,12.015870094299316,18.86819076538086,,,20.533367156982425,28.417293548583984,,15.408405303955078,,,,,
